temp,humidity,wind_speed,pressure,aqi,country,city1,city2,date
18,34,20.9,1017,25,Australia,Western Australia,Peppermint Grove,2020-05-23T12:00:00.000Z
18,34,20.9,1017,21,Australia,Western Australia,Pinjarra,2020-05-23T12:00:00.000Z
12,76,13.0,1016,25,Australia,Western Australia,Pemberton,2020-05-23T12:00:00.000Z
19,34,20.9,1017,21,Australia,Western Australia,Parmelia,2020-05-23T12:00:00.000Z
19,21,29.6,1017,21,Australia,Western Australia,Pearce,2020-05-23T12:00:00.000Z
18,36,23.8,1016,21,Australia,Western Australia,Parkerville,2020-05-23T12:00:00.000Z
19,20,28.8,1018,5,Australia,Western Australia,Paraburdoo,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,Palmyra,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Padbury,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Osborne Park,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Ocean Reef,2020-05-23T12:00:00.000Z
14,47,33.0,1023,5,Australia,Western Australia,Nulsen,2020-05-23T12:00:00.000Z
19,34,20.9,1017,21,Australia,Western Australia,Orelia,2020-05-23T12:00:00.000Z
22,17,23.8,1015,5,Australia,Western Australia,Northampton,2020-05-23T12:00:00.000Z
20,21,29.6,1017,9,Australia,Western Australia,Northam,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,North Fremantle,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,North Beach,2020-05-23T12:00:00.000Z
19,34,20.9,1017,21,Australia,Western Australia,Oakford,2020-05-23T12:00:00.000Z
22,48,49.9,1016,9,Australia,Western Australia,Nickol,2020-05-23T12:00:00.000Z
16,26,12.2,1020,5,Australia,Western Australia,Newman,2020-05-23T12:00:00.000Z
13,43,25.1,1018,9,Australia,Western Australia,Narrogin,2020-05-23T12:00:00.000Z
18,34,20.9,1017,25,Australia,Western Australia,Myaree,2020-05-23T12:00:00.000Z
18,34,20.9,1017,17,Australia,Western Australia,Mundijong,2020-05-23T12:00:00.000Z
17,36,23.8,1016,21,Australia,Western Australia,Mundaring,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Mount Lawley,2020-05-23T12:00:00.000Z
18,36,23.8,1016,13,Australia,Western Australia,Mount Helena,2020-05-23T12:00:00.000Z
13,58,18.0,1018,9,Australia,Western Australia,Mount Barker,2020-05-23T12:00:00.000Z
18,34,20.9,1017,25,Australia,Western Australia,Mount Pleasant,2020-05-23T12:00:00.000Z
19,25,30.1,1016,17,Australia,Western Australia,Moora,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,Mosman Park,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Mindarie,2020-05-23T12:00:00.000Z
18,38,15.1,1017,21,Australia,Western Australia,Midland,2020-05-23T12:00:00.000Z
22,48,50.7,1016,9,Australia,Western Australia,Millars Well,2020-05-23T12:00:00.000Z
17,36,23.8,1016,21,Australia,Western Australia,Middle Swan,2020-05-23T12:00:00.000Z
16,29,34.0,1017,5,Australia,Western Australia,Melville,2020-05-23T12:00:00.000Z
15,34,5.1,1022,5,Australia,Western Australia,Merredin,2020-05-23T12:00:00.000Z
19,36,18.0,1017,21,Australia,Western Australia,Medina,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Marangaroo,2020-05-23T12:00:00.000Z
18,36,18.0,1017,25,Australia,Western Australia,Manning,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Maylands,2020-05-23T12:00:00.000Z
12,76,12.9,1016,29,Australia,Western Australia,Manjimup,2020-05-23T12:00:00.000Z
18,36,23.8,1016,21,Australia,Western Australia,Maida Vale,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Leederville,2020-05-23T12:00:00.000Z
19,21,29.6,1017,17,Australia,Western Australia,Lower Chittering,2020-05-23T12:00:00.000Z
19,36,40.4,1017,21,Australia,Western Australia,Mandurah,2020-05-23T12:00:00.000Z
18,34,20.9,1017,17,Australia,Western Australia,Maddington,2020-05-23T12:00:00.000Z
13,58,18.0,1018,9,Australia,Western Australia,Lower King,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,Langford,2020-05-23T12:00:00.000Z
19,36,18.0,1017,21,Australia,Western Australia,Kwinana,2020-05-23T12:00:00.000Z
19,36,39.1,1017,17,Australia,Western Australia,Lakelands,2020-05-23T12:00:00.000Z
20,32,35.9,1018,5,Australia,Western Australia,Kununurra,2020-05-23T12:00:00.000Z
14,100,7.7,1021,9,Australia,Western Australia,Kojonup,2020-05-23T12:00:00.000Z
18,36,23.8,1016,17,Australia,Western Australia,Kewdale,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Kinross,2020-05-23T12:00:00.000Z
18,34,20.9,1017,17,Australia,Western Australia,Kelmscott,2020-05-23T12:00:00.000Z
18,36,23.8,1016,17,Australia,Western Australia,Kenwick,2020-05-23T12:00:00.000Z
14,100,7.7,1021,5,Australia,Western Australia,Katanning,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Karrinyup,2020-05-23T12:00:00.000Z
13,58,18.0,1018,5,Australia,Western Australia,Kendenup,2020-05-23T12:00:00.000Z
22,48,50.5,1016,13,Australia,Western Australia,Karratha,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,Kardinya,2020-05-23T12:00:00.000Z
18,38,15.1,1017,17,Australia,Western Australia,Kalamunda,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Kallaroo,2020-05-23T12:00:00.000Z
21,23,34.1,1014,17,Australia,Western Australia,Kalbarri,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Joondanna,2020-05-23T12:00:00.000Z
21,29,30.4,1015,29,Australia,Western Australia,Jurien Bay,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Innaloo,2020-05-23T12:00:00.000Z
19,30,5.1,1013,25,Australia,Western Australia,Jindalee,2020-05-23T12:00:00.000Z
19,34,20.9,1017,21,Australia,Western Australia,Hillman,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,Hilton,2020-05-23T12:00:00.000Z
18,40,7.7,1015,25,Australia,Western Australia,Hillarys,2020-05-23T12:00:00.000Z
18,36,18.0,1017,25,Australia,Western Australia,Harrisdale,2020-05-23T12:00:00.000Z
18,36,23.8,1016,21,Australia,Western Australia,Henley Brook,2020-05-23T12:00:00.000Z
13,39,23.3,1010,46,Australia,Western Australia,Harvey,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Heathridge,2020-05-23T12:00:00.000Z
15,33,38.8,1019,5,Australia,Western Australia,Halls Creek,2020-05-23T12:00:00.000Z
18,36,18.0,1017,21,Australia,Western Australia,Hammond Park,2020-05-23T12:00:00.000Z
18,38,15.1,1017,21,Australia,Western Australia,Guildford,2020-05-23T12:00:00.000Z
18,36,23.8,1016,21,Australia,Western Australia,Greenmount,2020-05-23T12:00:00.000Z
18,36,23.8,1016,21,Australia,Western Australia,Gooseberry Hill,2020-05-23T12:00:00.000Z
13,39,29.8,1010,53,Australia,Western Australia,Glen Iris,2020-05-23T12:00:00.000Z
18,36,18.0,1017,17,Australia,Western Australia,Gosnells,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,Fremantle,2020-05-23T12:00:00.000Z
18,34,20.9,1017,25,Australia,Western Australia,Ferndale,2020-05-23T12:00:00.000Z
14,50,29.6,1023,5,Australia,Western Australia,Esperance,2020-05-23T12:00:00.000Z
19,36,39.8,1017,21,Australia,Western Australia,Erskine,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Embleton,2020-05-23T12:00:00.000Z
13,39,27.5,1010,53,Australia,Western Australia,Eaton,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Eden Hill,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,East Victoria Park,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,East Perth,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,East Fremantle,2020-05-23T12:00:00.000Z
18,36,23.8,1016,17,Australia,Western Australia,East Cannington,2020-05-23T12:00:00.000Z
18,40,7.7,1015,25,Australia,Western Australia,Duncraig,2020-05-23T12:00:00.000Z
12,41,39.9,1010,29,Australia,Western Australia,Dunsborough,2020-05-23T12:00:00.000Z
13,40,19.6,1010,42,Australia,Western Australia,Donnybrook,2020-05-23T12:00:00.000Z
22,17,23.8,1015,21,Australia,Western Australia,Dongara,2020-05-23T12:00:00.000Z
18,36,20.9,1016,5,Australia,Western Australia,Derby,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Dianella,2020-05-23T12:00:00.000Z
13,58,18.0,1018,9,Australia,Western Australia,Denmark,2020-05-23T12:00:00.000Z
17,36,23.8,1016,21,Australia,Western Australia,Darlington,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Darch,2020-05-23T12:00:00.000Z
23,50,59.9,1016,13,Australia,Western Australia,Dampier,2020-05-23T12:00:00.000Z
18,34,20.9,1017,25,Australia,Western Australia,Dalkeith,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Daglish,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Currambine,2020-05-23T12:00:00.000Z
16,32,30.6,1018,5,Australia,Western Australia,Cunderdin,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,Crawley,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,Coogee,2020-05-23T12:00:00.000Z
18,36,18.0,1017,25,Australia,Western Australia,Cottesloe,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Coolbinia,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,Como,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Clarkson,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,Claremont,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,City of Cockburn,2020-05-23T12:00:00.000Z
18,36,23.8,1016,13,Australia,Western Australia,Chidlow,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,City Beach,2020-05-23T12:00:00.000Z
22,37,41.8,1013,9,Australia,Western Australia,Carnarvon,2020-05-23T12:00:00.000Z
18,38,15.1,1017,21,Australia,Western Australia,Caversham,2020-05-23T12:00:00.000Z
18,37,5.1,1014,25,Australia,Western Australia,Carramar,2020-05-23T12:00:00.000Z
13,38,26.7,1010,46,Australia,Western Australia,Capel,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Cannington,2020-05-23T12:00:00.000Z
18,36,18.0,1017,25,Australia,Western Australia,Canning Vale,2020-05-23T12:00:00.000Z
18,34,20.9,1017,17,Australia,Western Australia,Byford,2020-05-23T12:00:00.000Z
19,30,5.1,1013,25,Australia,Western Australia,Butler,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Burswood,2020-05-23T12:00:00.000Z
19,21,29.6,1017,21,Australia,Western Australia,Bullsbrook,2020-05-23T12:00:00.000Z
19,34,20.9,1017,17,Australia,Western Australia,Brookdale,2020-05-23T12:00:00.000Z
21,40,26.7,1016,5,Australia,Western Australia,Broome,2020-05-23T12:00:00.000Z
12,55,11.7,1017,34,Australia,Western Australia,Bridgetown,2020-05-23T12:00:00.000Z
14,37,25.1,1010,53,Australia,Western Australia,Boyanup,2020-05-23T12:00:00.000Z
13,55,19.6,1017,25,Australia,Western Australia,Boyup Brook,2020-05-23T12:00:00.000Z
15,40,29.6,1023,5,Australia,Western Australia,Boulder,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,Bicton,2020-05-23T12:00:00.000Z
18,34,20.9,1017,25,Australia,Western Australia,Booragoon,2020-05-23T12:00:00.000Z
15,34,24.8,1017,5,Australia,Western Australia,Beverley,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,Bibra Lake,2020-05-23T12:00:00.000Z
18,34,20.9,1017,21,Australia,Western Australia,Bertram,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Iluka,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Belmont,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Bentley,2020-05-23T12:00:00.000Z
18,36,23.8,1016,21,Australia,Western Australia,Bellevue,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Beldon,2020-05-23T12:00:00.000Z
13,58,18.0,1018,9,Australia,Western Australia,Grasmere,2020-05-23T12:00:00.000Z
11,76,2.6,1016,21,Australia,Western Australia,Margaret River,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,Beeliar,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Bassendean,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Ballajura,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Bedford,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Bayswater,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Mullaloo,2020-05-23T12:00:00.000Z
19,34,20.9,1017,17,Australia,Western Australia,Bedfordale,2020-05-23T12:00:00.000Z
13,40,27.2,1010,51,Australia,Western Australia,Australind,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Balcatta,2020-05-23T12:00:00.000Z
11,76,5.1,1016,21,Australia,Western Australia,Augusta,2020-05-23T12:00:00.000Z
18,36,18.0,1017,25,Australia,Western Australia,Attadale,2020-05-23T12:00:00.000Z
19,36,18.0,1017,17,Australia,Western Australia,Armadale,2020-05-23T12:00:00.000Z
18,36,18.0,1017,25,Australia,Western Australia,Applecross,2020-05-23T12:00:00.000Z
18,34,20.9,1017,25,Australia,Western Australia,Ardross,2020-05-23T12:00:00.000Z
18,34,20.9,1017,25,Australia,Western Australia,Alfred Cove,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Alexander Heights,2020-05-23T12:00:00.000Z
26,21,15.0,1017,13,Zimbabwe,Matabeleland North,Victoria Falls,2020-05-23T12:00:00.000Z
25,28,16.6,1018,13,Zimbabwe,Matabeleland North,Kamativi Mine,2020-05-23T12:00:00.000Z
24,24,15.4,1019,9,Zimbabwe,Matabeleland North,Inyati,2020-05-23T12:00:00.000Z
26,24,9.5,1018,13,Zimbabwe,Matabeleland North,Lupane,2020-05-23T12:00:00.000Z
28,22,13.5,1018,13,Zimbabwe,Matabeleland North,Hwange,2020-05-23T12:00:00.000Z
24,40,17.5,1018,13,Zimbabwe,Matabeleland North,Binga,2020-05-23T12:00:00.000Z
25,27,11.4,1018,13,Zimbabwe,Matabeleland North,Dete,2020-05-23T12:00:00.000Z
22,29,16.1,1019,13,Zimbabwe,Midlands,Mvuma,2020-05-23T12:00:00.000Z
21,29,19.3,1019,9,Zimbabwe,Midlands,Lalapanzi,2020-05-23T12:00:00.000Z
22,30,18.0,1019,13,Zimbabwe,Midlands,Gweru,2020-05-23T12:00:00.000Z
26,23,8.5,1019,13,Zimbabwe,Midlands,Kwekwe,2020-05-23T12:00:00.000Z
14,87,44.6,1025,29,Austria,Vorarlberg,Hoechst,2020-05-23T12:00:00.000Z
24,28,8.0,1018,17,Zimbabwe,Midlands,Gokwe,2020-05-23T12:00:00.000Z
23,43,15.1,1023,42,Bosnia Herzegovina,Federation of B&H,Skver,2020-05-23T12:00:00.000Z
23,43,15.1,1023,42,Bosnia Herzegovina,Federation of B&H,Tuzla,2020-05-23T12:00:00.000Z
23,46,20.9,1024,34,Bosnia Herzegovina,Federation of B&H,Otoka,2020-05-23T12:00:00.000Z
23,43,15.1,1023,29,Bosnia Herzegovina,Federation of B&H,Lukavac,2020-05-23T12:00:00.000Z
23,43,15.1,1023,42,Bosnia Herzegovina,Federation of B&H,Kalesija,2020-05-23T12:00:00.000Z
23,46,20.9,1024,21,Bosnia Herzegovina,Federation of B&H,Konjic,2020-05-23T12:00:00.000Z
23,46,20.9,1024,38,Bosnia Herzegovina,Federation of B&H,Ilidza,2020-05-23T12:00:00.000Z
24,23,18.0,1024,76,Botswana,South-East,Ramotswa,2020-05-23T12:00:00.000Z
24,23,18.0,1024,78,Botswana,South-East,Otse,2020-05-23T12:00:00.000Z
20,46,20.9,1024,21,Bosnia Herzegovina,Federation of B&H,Goražde,2020-05-23T12:00:00.000Z
23,23,2.9,1026,76,Botswana,South-East,Janeng,2020-05-23T12:00:00.000Z
24,23,18.0,1024,70,Botswana,South-East,Kopong,2020-05-23T12:00:00.000Z
26,50,10.6,1005,57,Azerbaijan,Xocali,Xocali,2020-05-23T12:00:00.000Z
26,65,20.9,1003,57,Azerbaijan,Yardimli,Yardimli,2020-05-23T12:00:00.000Z
17,73,55.8,1010,34,Azerbaijan,Xacmaz,Xacmaz,2020-05-23T12:00:00.000Z
22,49,26.7,1016,38,Australia,Northern Territory,Virginia,2020-05-23T12:00:00.000Z
12,50,18.0,1022,9,Australia,Northern Territory,Tennant Creek,2020-05-23T12:00:00.000Z
6,87,20.9,1015,9,Australia,Victoria,Yarrawonga,2020-05-23T12:00:00.000Z
19,48,83.4,1009,46,Azerbaijan,Tovuz,Tovuz,2020-05-23T12:00:00.000Z
25,51,12.1,1005,57,Azerbaijan,Xankandi Sahari,Xankandi,2020-05-23T12:00:00.000Z
10,93,18.0,1023,5,Australia,South Australia,Worrolong,2020-05-23T12:00:00.000Z
16,93,26.7,1015,9,Australia,Queensland,Yorkeys Knob,2020-05-23T12:00:00.000Z
22,46,77.6,1007,68,Azerbaijan,Yevlax,Aran,2020-05-23T12:00:00.000Z
22,46,77.6,1007,68,Azerbaijan,Yevlax,Qaramanli,2020-05-23T12:00:00.000Z
21,68,95.6,1008,34,Azerbaijan,Xizi,Suraabad,2020-05-23T12:00:00.000Z
20,67,70.8,1008,34,Azerbaijan,Xizi,Kilyazi,2020-05-23T12:00:00.000Z
14,70,2.6,1007,9,Australia,New South Wales,Bensville,2020-05-23T12:00:00.000Z
11,92,15.4,1008,9,Australia,New South Wales,Garden Suburb,2020-05-23T12:00:00.000Z
8,96,5.1,1008,9,Australia,New South Wales,Yass,2020-05-23T12:00:00.000Z
